run,mean_tow_speed,std_tow_speed,t1,t2,n_blade_pass,n_revs,mean_tsr,mean_cp,mean_cd,std_tsr,std_cp,std_cd,std_tsr_per_rev,std_cp_per_rev,std_cd_per_rev,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,t1_wake,t2_wake,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
138,1.200227272727273,0.00931577473073115,14.0,24.56,23.0,7.0,1.899040232516839,0.25474093597856445,0.9473427042107934,0.12606776107370843,0.09297601349535922,0.3099113234227889,0.003969706104059978,0.004733363885020335,0.0070410728911409455,0.010491799518355955,0.012508407075965513,0.018607762002468373,6.000044497391244,6.936244795888,6.0182964731147175,14.0,24.56,-2.25,0.375,1.3588507837280173,-0.037633349128940584,-0.04483704411013079,0.033641627745322436,0.02883816767194532,0.011317058030514532,3.357777643570068e-05,-0.00012445222412388467,-2.5843857293668282e-05,0.001045242041872762
139,1.2002515388257575,0.009272912441942352,14.0,24.56,23.0,7.0,1.8998075433579935,0.252209566714021,0.9460444870300555,0.12472730636120687,0.0919767675469668,0.3077053486798745,0.004113009380851287,0.006034517287684031,0.008733564667718562,0.010870545406737035,0.015933116457291136,0.02308125434725371,6.000041457940146,6.575924499677734,6.011890444467752,14.0,24.56,-2.0,0.375,1.3570635087117202,-0.028841382592542108,-0.03318056882760748,0.03364200400108991,0.02796615899952543,0.014118649935177531,-4.25398781142069e-05,-9.992219456938262e-05,3.4465932806711346e-06,0.00105611279006431
140,1.200229403409091,0.00942656877638363,14.0,24.56,23.0,7.0,1.899098404983454,0.25672890315405567,0.9506561810017937,0.12768578188660282,0.0942786108726859,0.31061447905793854,0.0035721283881629436,0.0058246134192459775,0.007154901061970569,0.009441014544568051,0.015379624977381334,0.018908629837926856,6.000054954532506,6.617880908040717,6.01771873765892,14.0,24.56,-1.8,0.375,1.3561964984418768,-0.018628787875334667,-0.0325629735546527,0.03467403552534313,0.027000017277545682,0.011504362966289348,-7.016764887833187e-05,-0.00016224688234062264,5.3358764738857565e-06,0.0010313314687845259
141,1.2002434895833334,0.009335881171523579,14.0,24.56,23.0,7.0,1.8993742095727426,0.25711860666677355,0.9515391494506357,0.12708130225170408,0.09378951725806037,0.3145909621968517,0.0014904100844292912,0.0024146479253906146,0.005098712438525319,0.003939098646526287,0.006560673966059024,0.013473616836427438,6.00031569889308,9.481447943852329,6.034895899385113,14.0,24.56,-1.6,0.375,1.3536939843183218,-0.011565939354400135,0.014641975350326398,0.04770974795545431,0.04469025310621017,0.027401683908107398,-0.00014434397319895112,-0.00027127532334231936,-1.7648094103927905e-05,0.002619162737167189
142,1.200234375,0.009475327125096654,14.0,24.56,23.0,7.0,1.899511365523425,0.2552792175527888,0.9529054173921261,0.1267471793287992,0.0935572047377964,0.311951673382417,0.0017686787352358525,0.004119224034915094,0.005740640568812102,0.004674554386552883,0.010901178492520723,0.015170430525951802,6.000224185290139,7.2364862517832815,6.027526811212309,14.0,24.56,-1.5,0.375,1.3597681697360693,0.005833017048847896,0.010624643233999058,0.05846167562392285,0.05833674415737878,0.040284382123396925,0.0008278775529921829,-0.0007001359183797591,-0.0004847102219977255,0.004524784059099665
143,1.200228338068182,0.00934611697132576,14.0,24.56,23.0,7.0,1.8995874537673616,0.2585729130525278,0.9531518423499237,0.12870831406830516,0.0950879102363895,0.3091347225716188,0.002901955479221734,0.004454024087971421,0.00920140046471349,0.007669769189102002,0.011776229597105392,0.024317791498605808,6.000083279395449,7.057984502102714,6.010712799161997,14.0,24.56,-1.4,0.375,1.335190904996001,0.02604218011984593,0.02574289772647634,0.1292381721851795,0.10728254043526378,0.0805648914921702,0.0006068222816855666,-0.001996571574015846,-0.001086913689649437,0.017343155117443537
144,1.2002251420454542,0.009722167856384075,14.0,24.56,23.0,7.0,1.899368437900252,0.25845043960671,0.953285148756397,0.13018570709893293,0.09636522961297242,0.3175169367822446,0.0034907934394374967,0.006474400630160899,0.00591227868759067,0.009226048913078107,0.017093747509717414,0.015624115709321248,6.000057550242249,6.4999691800742,6.025952149501662,14.0,24.56,-1.3,0.375,1.3264369665587683,0.061545281923965994,0.03559895831318555,0.15085665392780287,0.12558650820193212,0.10774630537846687,0.004270140117073476,-0.0004939556689337844,-0.0026446370015845346,0.025661030285864143
145,1.2002213541666669,0.009316107850889696,14.0,24.56,23.0,7.0,1.8989978877439784,0.25612492418225474,0.9511450780618155,0.12821177024292912,0.09463363872052441,0.31142429061089977,0.005694027230975988,0.003332747133643598,0.005656866143405838,0.015049123787846085,0.008863870455905427,0.014948991330840633,6.0000216277891845,7.880993434413388,6.028349599633854,14.0,24.56,-1.2,0.375,1.249153225671189,0.08921922354955203,0.016923295554850924,0.21163913855797764,0.1916858705481737,0.1696526918118678,0.004018874984660079,-0.00234290827123484,-0.0059992711435011194,0.05596906845420796
146,1.2002349668560606,0.009878014984112497,14.0,24.56,23.0,7.0,1.8993327980894836,0.2596468713562904,0.9591694415353593,0.1293368132082955,0.09565465843949804,0.32227007609884323,0.0014749919579088915,0.0029510468409418146,0.004135604237228382,0.003898348988103713,0.00789157584326035,0.010927720291530985,6.0003223349416395,8.38552189695033,6.053052972391118,14.0,24.56,-1.1,0.375,1.213738241912067,0.12434185601336084,-0.061000000154253387,0.21868579849507122,0.19742726724543064,0.21887375255070943,0.0028609469871367487,0.0007046060165631517,-0.005197101317912458,0.06732143348931147
147,1.2002175662878791,0.009478788196740721,14.0,24.56,23.0,7.0,1.8996584021155882,0.25181475514791807,0.9460122354126556,0.12567004265767437,0.09260816437235071,0.3135908753711799,0.0030245123302603673,0.005458394494831406,0.006542648897753359,0.007993683006912158,0.01441469464618077,0.017290330901317902,6.000076669649456,6.704222936472654,6.021191635044184,14.0,24.56,-1.0,0.375,1.1845435504772759,0.09146543565392759,-0.13088589004931264,0.22391648630644925,0.22666661307929553,0.25457024050331145,0.0013391672360659741,-0.0032754231687582426,0.0008652859028227844,0.08312173913383404
148,1.2002330729166668,0.009441301127788236,14.0,24.56,23.0,7.0,1.898782936255447,0.25494115014049334,0.9517579124801474,0.1273991116734442,0.09394851570832514,0.31213068560698615,0.004051727276772879,0.0031124794343968636,0.004840956872924596,0.010708578804706272,0.008300821359541475,0.012792275420633095,6.000042710653523,8.149947139988848,6.038713705536421,14.0,24.56,-0.9,0.375,1.1205365623719812,0.10893939390767958,-0.14829640158594967,0.25139229299505517,0.2632363026555263,0.2393448920842734,0.006010880681333525,-0.010786043483268386,0.0029450161041377496,0.09484373569920362
149,1.2002379261363636,0.009357444378155742,14.0,24.56,23.0,7.0,1.899061278946317,0.2600289449396518,0.95469107838846,0.12913135457334166,0.09545986101224346,0.31347755488175616,0.0020220717241063056,0.00332046890071825,0.0030109829017073513,0.0053442642760574265,0.008832376706826862,0.007954638139028677,6.00017149709819,7.894747981722299,6.100129520934507,14.0,24.56,-0.8,0.375,1.0000128449320964,0.006717329445095718,-0.1128527462015799,0.22438687309982147,0.2635043008543625,0.23083027391451094,0.003744009640223431,-0.011526640400641263,-0.006704649231110109,0.08649227145803061
150,1.2002386363636366,0.009435439771740398,14.0,24.56,23.0,7.0,1.8993747660223108,0.257632104697017,0.9578294959647938,0.12708106129933283,0.09398232869249921,0.31551287527274474,0.0026803114467500977,0.00534896396193501,0.004098437673216265,0.007083971107749482,0.014126570551787909,0.01082947036985416,6.000097614818759,6.733135465681589,6.054019373614457,14.0,24.56,-0.7,0.375,1.007317061468041,-0.03367045484953975,-0.16249763254117253,0.24299171201246292,0.2579572315550387,0.2010270622303017,0.0037371132379275993,-0.01831815956017795,-0.00885727679235067,0.08296008037907932
151,1.200240056818182,0.009611044300327843,14.0,24.56,23.0,7.0,1.9001950861495285,0.2589795334454799,0.9576462073702656,0.12946283692828656,0.09569701862222903,0.31378383504849755,0.003903789977836778,0.0038693571115099978,0.0068423055210992826,0.01031758534310894,0.010250618296908888,0.018082383271027465,6.00004602689199,7.4015681596616325,6.019374405657855,14.0,24.56,-0.6,0.375,0.8817758283953037,-0.06568702640321465,-0.16314015103638335,0.22600547234568222,0.2598415746442591,0.1767912216103977,0.007108746509257455,-0.005878918837916947,-0.00910654506184644,0.07489013913009472
152,1.2002162642045453,0.009593780546962178,14.0,24.56,23.0,7.0,1.8991013596042465,0.25824664129700275,0.9569627198298949,0.12985614209632435,0.09583939253561176,0.3162958180222233,0.0016536888914742672,0.002744276201409446,0.006468885721509617,0.004370639698660137,0.00737231032557797,0.017095359179654674,6.000256425752981,8.741660675217336,6.021677982419181,14.0,24.56,-0.5,0.375,0.7591352637951789,-0.0659659089390819,-0.13570028404275503,0.22643681662641935,0.24020710869134435,0.1653472455886622,-0.004188211454724732,-0.008362443009811791,-0.0011121863651214377,0.06812409947884587
153,1.2002399384469695,0.009410548563114084,14.0,24.56,23.0,7.0,1.8990952688634006,0.2543066554075869,0.9464889634443091,0.12556311603217563,0.09247612685918444,0.31212427717387115,0.0027877394059482806,0.0031447753587736135,0.005685884860547301,0.0073678997696280096,0.008383130848302668,0.015025696070214327,6.000090228824632,8.107702053265884,6.0280590890418795,14.0,24.56,-0.4,0.375,0.6455511176397142,-0.11816524624356878,-0.14063352267343857,0.24342018296539764,0.26878148420133646,0.17984411417418203,0.010076678433443079,-0.0069498431883704605,-0.0004706108141136204,0.08338492756886356
154,1.2002245501893942,0.009093986632139329,14.0,24.56,23.0,7.0,1.8995297672855327,0.25568272653019364,0.9454693007098877,0.12617746971243218,0.09316984192048508,0.3048186958615986,0.004813037053728797,0.00596584898607413,0.008741659244366436,0.012720695659544189,0.015752018441850868,0.02310264907327382,6.000030274232805,6.589168018930588,6.011869495808932,14.0,24.56,-0.3,0.375,0.5897505923667582,-0.12066003805133126,-0.1454337122598769,0.2432934587188073,0.2654754392565726,0.16133335195304252,0.008905804668478843,-0.01100187055934492,0.0007809044464278255,0.07781180307274646
155,1.2002260890151515,0.009451887395516436,14.0,24.56,23.0,7.0,1.8999160810701003,0.2578864245607116,0.9532083241129286,0.12957625326968336,0.0956969294143129,0.3150482046575434,0.0030644424401473106,0.004487305493845737,0.004581818611492509,0.008099217001577052,0.011863398818930134,0.012107269416664217,6.000074689560711,7.042742857635901,6.043219654607827,14.0,24.56,-0.2,0.375,0.5434670774808771,-0.08830681780466076,-0.10157481048780469,0.22608521415874647,0.2532248860481864,0.17302200954550476,0.00809985317684827,-0.009848579299188991,-0.008112434849305522,0.07255261680828475
156,1.2002211174242428,0.009560590487005168,14.0,24.56,23.0,7.0,1.899011246437955,0.2547266873768664,0.9459774530632223,0.12892110108437155,0.09501773099444061,0.3160474205726378,0.005341591820643064,0.00397908662564674,0.007311778417379413,0.014117648574831514,0.010535931577201405,0.019323283043326724,6.000024576076835,7.324158318930059,6.016966871704905,14.0,24.56,-0.1,0.375,0.5693655301495737,-0.12145454545090174,-0.07822253790414613,0.23370897587180883,0.23566852353949932,0.18214523476581565,-0.0037961221091144383,-0.007206887914188863,0.00863864979416888,0.07163427865639356
157,1.200220762310606,0.009589697922853082,14.0,24.56,23.0,7.0,1.8992732165995876,0.2609746958954886,0.9579562128299096,0.13025700755716219,0.09640410616702566,0.31770040591180915,0.002929347509097751,0.0030408274973081624,0.003643389855873867,0.007742165444681549,0.00811885655777563,0.009626525546642688,6.000081723467882,8.250907057820347,6.0683693818852396,14.0,24.56,0.0,0.375,0.6102911926282104,-0.12121117408820613,-0.0748963067465714,0.23128116174064078,0.2227480659611522,0.180883856221585,-0.0066267826175542425,-0.009373016392075849,0.000719057899589137,0.06788116712408654
158,1.200226680871212,0.009652555957545059,14.0,24.56,23.0,7.0,1.900239099871851,0.25420851173802306,0.9517546037428657,0.12835488957425267,0.09476847180378269,0.31866099699036393,0.0034688193398409225,0.004799322544322175,0.006455928420858479,0.009167972079539727,0.012681573540151694,0.01706111031001778,6.000058295815225,6.911838047979698,6.021764301128458,14.0,24.56,0.1,0.375,0.716714962651939,-0.15661079524673396,-0.14072253785409636,0.23937091171976857,0.2357737917899765,0.20200667584106433,-0.0006068767029342927,-0.007859885372691493,-0.0031692747031059187,0.07681081969092948
159,1.2002250236742424,0.00939968386558815,14.0,24.56,23.0,7.0,1.8996674104049964,0.2619229751492399,0.9541754332753416,0.13052558462056651,0.09656486383446493,0.3113729552695761,0.002843465146817646,0.0028816663446782904,0.005087405025758156,0.007515181116850032,0.007716743012739753,0.013443727306346473,6.00008674355701,8.498409358871564,6.0350534453671,14.0,24.56,0.2,0.375,0.6614054184235029,-0.11493087118183073,-0.12226941314618285,0.2564402603496753,0.2704880945033324,0.20704017102949623,0.011730521056988045,-0.011506696066857353,-0.004098854928122674,0.09360497720909075
