run,tsr,cp,cd,exp_unc_tsr,exp_unc_cp,exp_unc_cd,dof_tsr,dof_cp,dof_cd,y_R,z_H,mean_u,mean_v,mean_w,std_u,std_v,std_w,mean_upvp,mean_upwp,mean_vpwp,k
95,1.9001845693265773,0.25423320551350215,0.9383295290075604,0.011324865190613303,0.014957882877766797,0.016622328394700386,8.000062815723373,9.572455422716478,8.05432346688112,-1.8,0.25,1.1223329978080618,-0.025983182024373587,-0.023164757483716013,0.04273271275360411,0.03414010581341977,0.018335583184316894,0.00018460126472506446,-0.00017452330683198551,-2.972854018886046e-05,0.0016633528176194646
96,1.9002578622500106,0.2519894516300506,0.9363559540967388,0.01212202207083383,0.013898036812106445,0.026113006021064963,8.000054826588299,9.826095566504055,8.022003153967141,-1.6,0.25,1.139366420128785,-0.02008221035388159,0.011190057531735234,0.04977219692916717,0.04134034252217121,0.022255795484562947,8.496173676619337e-05,-0.00019470468589935218,2.467189702171378e-05,0.002380085320568389
97,1.9000624626842075,0.25176989289191765,0.9400529590160974,0.008876120457300634,0.017662073496396178,0.026372240660512282,8.00010225268702,9.1222231287087,8.021572939911842,-1.5,0.25,1.1333458821513074,-0.01871169364461312,0.02681317210011403,0.06431165453627172,0.0705530820642656,0.049825437034847986,0.000467150662827998,-9.617320677350456e-05,-0.0001343150899096746,0.0057962017000890214
98,1.8995207823202227,0.2532858285968721,0.9454271246574995,0.00581569207102085,0.014827270322281543,0.0108806074695063,8.000238152249086,9.599632613572368,8.126897513217713,-1.4,0.25,1.1209602836746433,-0.01626655471342921,0.05520598130447412,0.1034757205644474,0.10727849627158793,0.08061633738154249,0.0017868048128125702,0.00016911331808225366,-0.0002683259635438272,0.014352619092280926
99,1.8988665786444838,0.25035872183305025,0.9355676143694726,0.004999195748349035,0.012905592085217079,0.023437345038562835,8.000322238618292,10.120291649794403,8.02731619978584,-1.3,0.25,1.040804098745162,-0.052536962459114836,0.07447043022955924,0.17593896640941056,0.16110158171919328,0.11649918557771707,0.005601773578718673,0.004960613999208126,0.00048707148481638165,0.03522830843873978
100,1.899386246952769,0.2543318381144898,0.9415032489396095,0.008820944554853364,0.019428358326736762,0.02949324353968521,8.000103516384037,8.924707473374019,8.017247926419852,-1.2,0.25,0.8635757976497657,-0.05432963716153334,0.03049260751782073,0.23984395074854625,0.2106463741802774,0.17472639817014926,0.003531809986904398,0.01195339929576532,-0.0021707290781229397,0.06619091264569626
101,1.8992649715738348,0.2548665451067684,0.9444572357412139,0.006808378278008356,0.020032490611178483,0.03173388982492889,8.0001737554778,8.869101243398356,8.014898004717159,-1.1,0.25,0.7465547715706164,-0.057154233988678964,-0.08155577948468083,0.20719935282498722,0.22284682926773,0.20497554557869838,0.008577684638019712,0.0146052903632875,-0.000806172442056996,0.0672810122392308
102,1.9000575257808914,0.25532674528229754,0.9381245861765444,0.009056877419889186,0.01218145761420797,0.01764615311290638,8.000098212720033,10.387958178944874,8.048200321193363,-1.0,0.25,0.6718711739326421,-0.06644586413526762,-0.1573759247873385,0.18694645852063016,0.18649067149935827,0.20831953972183898,0.009071269186974526,-0.0026016863064580982,-0.004877910717365202,0.05654336883251352
103,1.9007595821415473,0.2503001317870718,0.9296370155425564,0.008202065817978757,0.01696442606604266,0.0208982130989404,8.00011977457855,9.218643888860933,8.034360701891648,-0.9,0.25,0.5824421270917174,-0.04759347680207685,-0.11112609273801347,0.18523314060664395,0.19055274791402016,0.18232723941452672,0.010540513566236689,-0.004375332947403761,0.0003734143833588734,0.05191497813923675
104,1.9000450047503261,0.2519465670889077,0.9338738965523949,0.0043490966868505315,0.007967845027171919,0.015717846289914825,8.000425914905058,13.535548006442463,8.060760503141925,-0.8,0.25,0.5264556156352372,-0.049459650393787746,-0.07610894426355538,0.178980277219958,0.1993771267972497,0.13560820729451373,0.008226332467171143,-0.002822921721609946,-5.4741428836564935e-05,0.0450722215861169
105,1.899457751354492,0.2531418917102817,0.9335377253827748,0.006477090483030772,0.010427150418640582,0.014203007636330915,8.000191990865808,11.272418051958862,8.074422465432004,-0.7,0.25,0.47127755393235166,-0.053277553543363956,-0.08831115590072186,0.1450361863857054,0.13801608569373583,0.13317885340987135,0.00034217052357220505,-0.006319425351981726,0.0016475490372049493,0.02890055666072172
106,1.8999687837540475,0.25136287735845686,0.9332100086013126,0.011438075721377287,0.013476782011531824,0.0183120107882597,8.000061574487622,9.943573864782334,8.044755438611608,-0.6,0.25,0.4704657035230229,-0.03759683928132701,-0.08983725634962977,0.1460936147648557,0.14459627662979102,0.10364598488479586,0.0021443126176065156,-0.004512528427700895,0.0015266001814149474,0.026488049300912968
107,1.8994199706220027,0.25306227736289083,0.9366638849703284,0.00905807295009496,0.016562922072692558,0.02470574020250981,8.00009816804884,9.277443666804958,8.024582234670941,-0.5,0.25,0.4732536965814014,-0.04003763426284892,-0.1331989248453371,0.13445385253150527,0.1302309851329927,0.10610959642003939,0.002675342838872604,-0.003130975098890814,0.0013358503896373226,0.023140818774369805
